N,P,K,temperature,humidity,ph,rainfall,label
36.49,67.33,77.92,21.95,18.89,6.9,69.5,chickpea
37.47,64.55,71.46,21.03,21.68,7.24,78.54,chickpea
37.6,77.27,80.38,19.79,15.26,6.68,75.21,chickpea
37.98,71.6,80.67,21.08,22.65,7.63,88.72,chickpea
49.11,60.36,73.92,15.08,21.47,7.8,69.74,chickpea
48.54,61.21,88.69,18.52,16.01,6.97,70.27,chickpea
35.7,66.15,86.06,20.39,18.11,7.22,88.65,chickpea
35.45,68.27,72.44,16.81,21.81,6.36,81.01,chickpea
44.18,62.14,81.35,17.57,24.63,6.97,92.24,chickpea
41.0,60.87,82.66,24.51,21.02,7.64,95.37,chickpea
34.56,64.24,82.22,19.11,23.4,7.8,74.14,chickpea
34.74,75.61,75.5,23.23,19.24,7.34,63.82,chickpea
42.48,69.04,81.73,16.68,22.37,7.73,68.67,chickpea
31.91,60.47,82.84,21.07,20.47,6.46,75.64,chickpea
41.89,69.94,89.76,16.36,21.95,6.81,77.13,chickpea
44.35,73.85,89.83,16.28,16.04,7.45,83.14,chickpea
35.48,61.59,71.71,23.94,16.92,6.65,69.07,chickpea
37.1,61.39,80.38,15.68,23.0,6.47,81.6,chickpea
47.6,73.02,80.66,18.24,18.33,7.34,99.77,chickpea
43.24,71.16,84.61,19.65,15.6,7.12,98.31,chickpea
33.51,73.8,74.02,20.36,15.97,6.9,90.25,chickpea
36.95,73.3,85.91,24.27,17.35,6.8,66.1,chickpea
49.85,78.54,80.8,23.42,20.21,7.25,63.56,chickpea
45.11,62.55,86.52,22.82,22.09,6.07,72.13,chickpea
35.26,67.2,71.75,24.37,20.54,6.61,75.88,chickpea
38.94,72.01,80.31,24.19,19.97,7.98,94.06,chickpea
34.17,78.61,72.33,23.17,18.81,7.76,94.72,chickpea
46.12,75.8,76.09,15.81,19.03,6.35,87.8,chickpea
36.92,79.51,82.82,23.22,16.33,7.72,96.91,chickpea
39.74,72.13,85.3,16.75,20.03,6.8,65.85,chickpea
37.35,61.36,70.52,16.35,24.63,7.1,98.63,chickpea
38.65,66.24,80.12,19.4,16.06,7.28,68.64,chickpea
42.39,73.0,73.04,15.61,22.81,6.92,62.33,chickpea
49.9,61.16,83.9,24.84,17.39,6.28,64.86,chickpea
36.07,62.02,83.84,15.62,20.09,7.99,92.56,chickpea
42.3,66.13,82.48,20.27,19.26,6.26,95.46,chickpea
39.0,63.89,77.36,19.14,23.28,7.47,90.77,chickpea
30.22,68.32,79.63,15.19,17.6,7.52,65.48,chickpea
40.71,64.3,70.24,17.41,24.76,7.6,98.38,chickpea
39.76,62.19,80.96,19.54,23.44,6.2,79.53,chickpea
33.0,66.49,84.75,19.76,18.76,6.79,78.38,chickpea
45.7,77.84,89.11,22.87,18.15,7.38,77.5,chickpea
35.09,76.82,70.77,24.02,19.61,7.27,86.37,chickpea
47.9,72.73,82.28,15.67,20.18,6.3,89.5,chickpea
40.24,73.6,70.83,15.85,22.16,6.14,62.85,chickpea
30.24,79.13,84.75,18.53,17.97,6.7,90.99,chickpea
43.23,63.7,73.48,15.98,21.6,7.53,70.6,chickpea
30.42,61.64,89.36,17.95,22.69,7.25,75.28,chickpea
34.11,62.43,82.3,22.75,21.44,7.06,61.68,chickpea
49.37,75.97,75.86,24.8,21.02,7.16,89.92,chickpea
46.24,73.13,72.56,18.38,24.28,6.45,74.89,chickpea
38.64,68.79,82.26,24.43,17.41,6.24,67.9,chickpea
47.74,72.92,75.72,23.16,23.61,7.69,96.76,chickpea
35.04,75.1,79.21,23.42,22.28,7.55,86.25,chickpea
33.55,70.9,89.69,24.37,15.43,6.33,65.27,chickpea
44.52,76.36,74.27,20.06,23.41,7.47,81.69,chickpea
41.81,70.17,75.95,20.65,21.89,7.75,85.45,chickpea
45.22,63.2,79.23,15.09,17.47,7.45,99.67,chickpea
31.98,68.03,86.0,17.04,20.55,7.47,84.64,chickpea
33.76,67.11,85.68,20.54,15.05,7.52,61.41,chickpea
44.91,64.05,89.16,18.68,18.27,6.3,72.22,chickpea
47.53,79.93,77.37,19.49,22.22,7.77,83.72,chickpea
37.83,68.25,83.91,15.03,21.2,6.71,91.77,chickpea
31.86,71.76,79.62,21.42,15.65,7.16,82.46,chickpea
41.21,72.07,83.53,23.05,17.7,7.65,79.93,chickpea
31.54,61.17,76.68,22.85,22.08,7.58,80.69,chickpea
38.8,62.95,76.56,19.34,15.89,6.44,83.93,chickpea
44.71,79.97,88.66,21.43,19.21,7.27,91.43,chickpea
32.37,68.2,86.8,18.84,20.72,7.18,67.38,chickpea
37.24,66.69,70.52,15.24,23.32,6.55,80.72,chickpea
35.97,78.81,75.19,19.3,23.73,7.68,67.44,chickpea
46.05,69.16,79.66,16.33,15.81,7.46,79.86,chickpea
38.74,74.59,85.31,16.59,21.1,6.27,90.06,chickpea
43.14,79.13,71.38,15.57,17.82,6.52,69.88,chickpea
48.13,64.99,75.44,22.59,19.5,7.55,62.61,chickpea
39.75,60.67,71.25,24.06,16.39,7.06,76.44,chickpea
36.95,78.0,70.44,21.64,24.63,7.12,97.47,chickpea
31.05,68.38,75.2,22.31,24.81,6.51,86.17,chickpea
33.96,71.31,79.28,24.72,21.09,6.7,64.56,chickpea
33.02,64.51,75.02,23.51,20.61,7.05,64.59,chickpea
47.2,74.46,71.35,22.08,20.44,6.16,78.33,chickpea
39.69,63.32,88.91,23.5,21.69,6.92,76.47,chickpea
43.02,70.91,71.25,20.13,23.06,6.92,62.08,chickpea
45.73,64.03,75.17,16.65,18.3,7.51,80.78,chickpea
34.1,77.56,87.59,23.71,17.39,6.9,99.4,chickpea
45.44,60.54,71.3,19.64,24.09,7.08,79.91,chickpea
32.11,73.14,86.44,18.8,22.76,7.93,68.15,chickpea
40.47,65.74,85.86,20.78,21.35,7.6,75.84,chickpea
24.15,63.0,16.58,23.35,70.87,5.98,142.86,kidneybeans
24.06,59.15,24.84,16.69,59.04,5.78,144.7,kidneybeans
21.54,57.28,19.4,22.38,56.67,6.82,140.18,kidneybeans
20.05,69.51,19.18,26.81,68.36,6.45,108.3,kidneybeans
23.82,61.41,16.62,15.15,66.2,6.29,135.97,kidneybeans
23.9,56.19,22.31,17.25,72.16,6.73,127.04,kidneybeans
22.1,59.72,19.71,24.86,64.19,6.04,124.71,kidneybeans
23.28,60.03,16.74,23.54,71.52,5.65,111.99,kidneybeans
16.42,60.22,19.5,23.99,68.02,6.43,117.62,kidneybeans
23.41,62.07,24.79,22.61,57.53,6.51,116.26,kidneybeans
21.86,56.04,16.75,25.27,59.54,6.76,113.96,kidneybeans
21.43,65.41,20.13,18.66,59.25,5.55,115.2,kidneybeans
21.53,69.07,23.71,24.19,70.77,6.5,113.01,kidneybeans
24.07,65.06,20.6,16.33,63.94,6.19,143.23,kidneybeans
20.47,60.71,24.77,16.33,63.45,5.56,137.0,kidneybeans
24.18,59.2,23.58,18.51,73.22,6.63,140.25,kidneybeans
15.18,69.44,22.27,18.66,71.59,5.92,143.64,kidneybeans
16.13,65.56,20.41,16.16,59.84,5.52,123.44,kidneybeans
18.01,63.98,17.97,18.6,69.86,5.57,145.14,kidneybeans
23.52,65.02,20.93,25.71,58.71,5.62,111.98,kidneybeans
22.95,55.52,20.83,26.95,72.11,6.28,103.18,kidneybeans
23.31,63.98,16.15,16.13,73.19,6.5,141.46,kidneybeans
23.79,63.58,20.17,20.17,61.34,6.15,138.69,kidneybeans
21.02,68.39,19.43,22.29,67.63,6.39,135.13,kidneybeans
17.37,62.69,16.04,19.61,64.75,6.48,147.53,kidneybeans
21.01,66.15,20.06,22.61,56.42,5.88,118.09,kidneybeans
19.72,55.68,16.4,18.32,74.43,6.0,124.1,kidneybeans
16.96,64.16,17.81,17.48,65.33,5.51,100.38,kidneybeans
17.19,55.55,16.08,19.07,71.05,6.36,125.63,kidneybeans
17.93,68.98,18.97,16.05,67.34,5.67,117.26,kidneybeans
20.07,68.11,19.94,23.43,74.86,5.7,113.74,kidneybeans
18.95,61.33,19.11,25.89,69.28,6.41,115.47,kidneybeans
23.24,69.33,23.21,15.02,67.73,5.58,112.88,kidneybeans
15.6,64.06,21.87,16.37,62.68,6.18,118.45,kidneybeans
16.21,61.28,22.51,15.85,56.6,6.03,147.09,kidneybeans
21.69,65.18,18.62,22.12,55.2,6.45,145.66,kidneybeans
21.13,68.11,22.24,16.45,73.05,5.6,126.7,kidneybeans
16.42,55.18,19.22,18.54,64.72,6.37,102.19,kidneybeans
16.23,63.38,18.43,23.75,68.05,6.77,134.62,kidneybeans
19.3,65.09,17.75,18.68,70.78,6.17,139.92,kidneybeans
23.22,67.86,24.17,20.17,61.38,6.37,118.56,kidneybeans
21.01,65.58,21.88,19.49,58.34,6.15,107.13,kidneybeans
23.9,60.19,16.54,15.31,67.92,6.46,117.03,kidneybeans
15.72,61.14,18.11,23.13,67.12,6.05,110.89,kidneybeans
24.88,61.81,21.88,16.69,64.71,5.54,125.27,kidneybeans
24.64,60.76,15.39,15.37,62.76,5.74,101.17,kidneybeans
22.56,61.88,17.89,25.8,57.32,6.93,115.7,kidneybeans
23.88,64.04,23.27,26.81,60.77,6.94,119.47,kidneybeans
18.86,60.11,20.41,16.85,66.07,6.31,138.1,kidneybeans
23.34,61.61,18.02,18.11,58.89,5.59,117.12,kidneybeans
17.7,69.5,20.58,19.17,66.61,5.71,122.2,kidneybeans
21.26,62.33,19.02,26.93,72.61,6.44,128.47,kidneybeans
21.21,58.02,18.95,15.47,64.51,6.31,111.39,kidneybeans
24.64,68.64,22.22,21.4,72.4,5.7,139.53,kidneybeans
16.25,66.91,17.76,25.53,73.88,5.72,123.13,kidneybeans
24.81,62.25,23.64,22.06,62.51,5.93,110.16,kidneybeans
22.62,60.8,20.11,20.91,66.55,6.8,149.04,kidneybeans
19.08,67.41,22.65,21.88,74.12,5.8,105.46,kidneybeans
23.54,61.59,23.47,25.72,56.25,6.83,122.42,kidneybeans
20.1,64.4,24.26,15.23,64.54,6.53,136.14,kidneybeans
21.93,57.02,17.99,19.3,71.09,5.92,110.54,kidneybeans
24.57,55.13,24.98,23.12,71.57,5.94,100.72,kidneybeans
22.38,67.51,22.4,16.71,70.07,6.65,132.93,kidneybeans
22.66,67.69,21.14,16.06,64.75,5.62,120.38,kidneybeans
19.07,55.99,18.49,16.33,71.16,6.92,103.62,kidneybeans
24.55,62.84,18.0,15.92,65.01,6.69,135.35,kidneybeans
15.5,56.09,19.03,18.54,59.65,5.92,140.17,kidneybeans
24.29,61.08,24.06,18.86,64.53,5.84,132.02,kidneybeans
24.79,64.05,18.58,22.77,57.46,6.83,125.15,kidneybeans
19.49,63.79,21.25,15.86,68.65,5.86,135.7,kidneybeans
23.23,67.06,20.53,21.24,57.86,6.66,113.57,kidneybeans
19.97,59.26,16.34,22.55,56.09,6.62,115.88,kidneybeans
15.0,62.67,15.47,18.31,69.14,5.59,141.97,kidneybeans
15.04,58.7,22.41,18.8,57.04,6.04,113.52,kidneybeans
23.43,59.7,22.89,25.7,63.68,6.86,118.87,kidneybeans
24.64,56.34,21.87,20.93,62.75,6.45,135.19,kidneybeans
15.04,57.5,22.13,23.0,74.32,6.64,147.54,kidneybeans
22.03,59.47,16.05,24.38,67.88,5.57,118.0,kidneybeans
24.57,62.51,19.33,20.49,59.18,6.05,118.49,kidneybeans
15.52,66.51,19.17,24.87,72.01,5.82,132.87,kidneybeans
19.72,68.2,17.16,23.13,67.16,5.94,106.83,kidneybeans
21.52,66.08,18.16,22.74,62.9,6.57,109.96,kidneybeans
23.9,59.31,18.68,15.7,57.23,6.27,113.38,kidneybeans
23.35,55.22,18.79,19.05,55.39,5.69,120.68,kidneybeans
19.93,61.06,20.31,22.14,55.2,6.2,148.17,kidneybeans
20.19,65.16,18.12,24.29,70.46,6.28,148.8,kidneybeans
16.26,55.25,22.7,24.69,57.4,5.9,100.88,kidneybeans
17.93,66.6,20.18,19.18,62.43,5.5,114.99,kidneybeans
21.46,69.61,23.47,15.28,72.97,6.67,139.02,kidneybeans
19.58,60.97,18.03,15.79,59.56,5.87,124.2,kidneybeans
22.47,62.11,15.58,26.49,73.85,6.68,149.57,kidneybeans
20.44,69.44,15.76,19.39,59.51,5.79,107.04,kidneybeans
21.22,66.72,20.78,16.76,71.22,6.45,119.41,kidneybeans
21.74,58.9,18.45,26.01,60.81,6.2,144.51,kidneybeans
22.08,55.93,16.47,15.09,67.62,6.17,106.71,kidneybeans
24.58,62.94,17.42,21.01,68.59,5.61,113.74,kidneybeans
23.07,61.89,20.47,20.19,55.88,5.75,122.28,kidneybeans
17.09,55.75,23.44,26.77,70.86,6.78,112.1,kidneybeans
24.61,57.95,24.51,26.94,69.23,6.97,128.48,kidneybeans
17.6,61.55,20.94,15.88,67.45,6.97,109.51,kidneybeans
22.93,68.62,24.44,28.56,45.43,6.95,90.29,pigeonpeas
16.62,62.15,22.18,20.72,47.81,6.33,66.51,pigeonpeas
20.65,66.57,19.99,18.13,35.18,5.71,97.05,pigeonpeas
17.29,64.52,17.22,21.54,51.96,6.46,63.82,pigeonpeas
19.29,55.44,19.81,25.29,37.37,5.58,75.91,pigeonpeas
24.2,69.9,15.45,26.37,42.43,5.78,90.17,pigeonpeas
24.18,69.26,20.77,21.93,50.75,5.5,82.56,pigeonpeas
18.59,64.85,17.4,20.11,53.36,5.2,80.24,pigeonpeas
17.21,55.58,15.36,19.93,52.34,5.56,98.02,pigeonpeas
20.82,61.55,20.8,23.68,50.18,5.56,74.12,pigeonpeas
23.94,69.2,23.93,22.61,50.61,5.95,79.9,pigeonpeas
17.05,63.87,16.86,21.65,52.1,5.41,62.85,pigeonpeas
15.69,69.11,20.07,22.5,51.22,6.67,73.29,pigeonpeas
21.94,66.57,21.55,19.67,52.52,6.08,71.3,pigeonpeas
19.25,55.56,16.28,26.42,35.0,5.83,80.9,pigeonpeas
15.55,69.6,17.26,21.35,41.08,5.46,60.06,pigeonpeas
22.29,69.5,17.24,25.29,49.84,6.7,76.91,pigeonpeas
18.03,59.88,22.13,26.98,38.63,5.74,96.08,pigeonpeas
23.07,69.77,22.54,22.33,46.81,6.32,63.14,pigeonpeas
20.44,65.64,16.67,26.59,46.68,6.9,61.7,pigeonpeas
17.65,64.02,17.97,25.86,50.18,5.21,80.55,pigeonpeas
20.09,60.54,24.33,27.1,48.94,6.43,78.47,pigeonpeas
24.21,65.42,22.29,27.48,40.48,6.61,67.81,pigeonpeas
18.45,60.03,24.79,27.42,49.02,6.45,82.48,pigeonpeas
24.47,62.44,18.81,19.79,50.72,6.47,75.37,pigeonpeas
15.25,67.58,15.11,25.74,54.41,5.88,69.4,pigeonpeas
